日期,累计确诊,新增确诊,累计治愈,累计死亡,国家
2020/3/24,24811,1762,8913,1934,伊朗
2020/3/24,39673,6584,3355,2696,西班牙
2020/3/24,81218,47,73650,3281,中国
2020/3/24,63927,4789,7432,6077,意大利
2020/3/24,519,94,40,9,印度
2020/3/24,554,152,1,0,南非
2020/3/24,1891,345,2,34,巴西
2020/3/24,498,60,17,1,俄罗斯
2020/3/24,1209,69,285,42,日本
2020/3/25,32323,3983,3243,181,德国
2020/3/25,9137,100,3730,126,韩国
2020/3/25,55242,8799,354,801,美国
2020/3/25,27017,2206,9625,2077,伊朗
2020/3/25,81285,67,74051,3287,中国
2020/3/25,47610,7937,3355,3434,西班牙
2020/3/25,69176,5249,8326,6820,意大利
2020/3/25,606,87,42,10,印度
2020/3/25,709,155,1,0,南非
2020/3/25,2201,310,2,46,巴西
2020/3/25,658,160,29,1,俄罗斯
2020/3/25,1307,98,310,45,日本
2020/3/26,9241,104,4144,131,韩国
2020/3/26,39572,4219,3547,224,德国
2020/3/26,69223,13981,619,1054,美国
2020/3/26,29406,2389,10457,2234,伊朗
2020/3/26,81340,55,74588,3292,中国
2020/3/26,56138,8578,5367,4089,西班牙
2020/3/26,74386,5210,9362,7503,意大利
2020/3/26,649,43,42,13,印度
2020/3/26,709,0,12,0,南非
2020/3/26,2433,232,2,57,巴西
2020/3/26,840,182,38,2,俄罗斯
2020/3/26,1399,92,359,47,日本
2020/3/27,9332,91,4528,139,韩国
2020/3/27,43211,3639,5678,262,德国
2020/3/27,86043,16820,753,1304,美国
2020/3/27,32332,2926,11133,2378,伊朗
2020/3/27,81394,54,74971,3295,中国
2020/3/27,64059,7871,7015,4858,西班牙
2020/3/27,80539,6153,10361,8215,意大利
2020/3/27,694,45,44,16,印度
2020/3/27,927,218,1,0,南非
2020/3/27,2915,482,2,77,巴西
2020/3/27,1036,196,45,3,俄罗斯
2020/3/27,1516,117,372,49,日本
2020/3/28,9478,146,4811,144,韩国
2020/3/28,53340,10129,6658,399,德国
2020/3/28,104839,18796,869,1716,美国
2020/3/28,35408,3076,11679,2517,伊朗
2020/3/28,81439,45,75448,3300,中国
2020/3/28,72248,8189,9357,5690,西班牙
2020/3/28,86498,5959,10950,9134,意大利
2020/3/28,918,224,80,20,印度
2020/3/28,1170,243,1,0,南非
2020/3/28,3477,562,6,93,巴西
2020/3/28,1264,228,45,3,俄罗斯
2020/3/28,1724,208,372,52,日本
2020/3/29,9583,105,5033,152,韩国
2020/3/29,58247,4907,8481,455,德国
2020/3/29,124676,19837,1095,2196,美国
2020/3/29,38309,2901,12391,2640,伊朗
2020/3/29,82447,106,75937,3311,中国
2020/3/29,78797,6549,12285,6528,西班牙
2020/3/29,92472,5974,12384,10023,意大利
2020/3/29,1024,106,95,27,印度
2020/3/29,1187,17,31,1,南非
2020/3/29,3904,487,6,117,巴西
2020/3/29,1534,270,64,8,俄罗斯
2020/3/29,1726,2,424,52,日本
2020/3/30,9661,78,5228,158,韩国
2020/3/30,63929,5682,9211,560,德国
2020/3/30,143071,18395,4856,2513,美国
2020/3/30,41495,3186,13911,2757,伊朗
2020/3/30,82545,98,76225,3314,中国
2020/3/30,85195,6398,14709,7340,西班牙
2020/3/30,97689,5217,13030,10779,意大利
2020/3/30,1071,71,99,29,印度
2020/3/30,1280,93,31,2,南非
2020/3/30,4256,352,6,136,巴西
2020/3/30,1836,302,66,9,俄罗斯
2020/3/30,1866,140,424,54,日本
2020/3/31,9786,125,5408,162,韩国
2020/3/31,68180,4251,15824,682,德国
2020/3/31,44606,3111,14656,2898,伊朗
